played_at,track_name,artists,album,duration_ms,spotify_url
2025-11-13T20:43:26.119Z,אירוניה,נועם קלינשטיין,אירוניה,178276,https://open.spotify.com/track/2FKem4JxQdH0nhkqS2kkql
2025-11-13T20:40:27.871Z,תן לי זמן,נועם קלינשטיין,תן לי זמן,184245,https://open.spotify.com/track/5jvU0fxQllEi4IOhBhuU35
2025-11-13T20:37:22.039Z,Don't Speak,No Doubt,Tragic Kingdom,263560,https://open.spotify.com/track/6urCAbunOQI4bLhmGpX7iS
2025-11-13T20:32:58.358Z,עיוור,נועם קלינשטיין,עיוור,235339,https://open.spotify.com/track/4fZlnnpItlUD2RdR0zSuAC
2025-11-13T20:29:03.525Z,Put It on Me,Matt Maeson,The Hearse,202760,https://open.spotify.com/track/7tySfDFfBiCjraLdoy6In5
2025-11-13T19:23:08.160Z,Torn,Natalie Imbruglia,Glorious: The Singles 97-07,244813,https://open.spotify.com/track/3APayTEWiUl9Ssep4BOXR2
2025-11-13T19:18:57.344Z,אוטובוס אחרון לחיפה,"Elai Botner, Meshi Kleinstein",אוטובוס אחרון לחיפה,252640,https://open.spotify.com/track/6Sg2PVBYeqCc5kz5UoFEA8
2025-11-13T19:14:43.196Z,עיוור,נועם קלינשטיין,עיוור,235339,https://open.spotify.com/track/4fZlnnpItlUD2RdR0zSuAC
2025-11-13T19:08:56.903Z,תן לי זמן,נועם קלינשטיין,תן לי זמן,184245,https://open.spotify.com/track/5jvU0fxQllEi4IOhBhuU35
2025-11-12T01:09:17.574Z,"Go to Hell, for Heaven's Sake",Bring Me The Horizon,Sempiternal (Expanded Edition),243000,https://open.spotify.com/track/0Koh9yED8UuaXvg9p5lQdB
2025-11-07T02:20:21.626Z,I Will Not Bow,Breaking Benjamin,Dear Agony,216733,https://open.spotify.com/track/2yXyz4NLTZx9CLdXfLTp5E
2025-11-07T02:16:44.834Z,We Are The People,Empire Of The Sun,Walking On A Dream (10th Anniversary Edition),267373,https://open.spotify.com/track/3zEN0ii6s4DHHBpnTp3RP7
2025-11-07T02:12:16.878Z,23,"Mike WiLL Made-It, Miley Cyrus, Wiz Khalifa, Juicy J",23,252520,https://open.spotify.com/track/20FZrLl9zSbO9b3DhaqO6M
2025-11-07T02:08:05.399Z,Big Jet Plane,Angus & Julia Stone,Down the Way,239146,https://open.spotify.com/track/3WGsYiBXmaT8XyY4Fmry2v
2025-11-07T02:04:03.997Z,Sweater Weather,The Neighbourhood,I Love You.,240400,https://open.spotify.com/track/2QjOHCTQ1Jl3zawyYOpxh6
2025-11-07T01:59:46.149Z,Heavy Is the Crown,Linkin Park,From Zero,167012,https://open.spotify.com/track/2HBBM75Xv3o2Mqdyh1NcM0
2025-11-07T01:56:53.574Z,Lying from You,Linkin Park,Meteora (Bonus Edition),175053,https://open.spotify.com/track/4qVR3CF8FuFvHN4L6vXlB1
2025-11-07T01:53:59.274Z,Seeing Red,Architects,"The Sky, The Earth & All Between",220575,https://open.spotify.com/track/65qBr6ToDUjTD1RiE1H4Gl
2025-11-07T01:50:16.430Z,AmEN! (feat. Lil Uzi Vert and Daryl Palumbo of Glassjaw),"Bring Me The Horizon, Lil Uzi Vert, Daryl Palumbo, Glassjaw",POST HUMAN: NeX GEn,189548,https://open.spotify.com/track/1EQgXWPkU96b4tw3pJtTp1
2025-11-07T01:47:06.993Z,All Around Me,Flyleaf,Flyleaf,198466,https://open.spotify.com/track/5bHwCxqs3jhxjDeztcHFpd
2025-11-07T01:43:48.070Z,Little Monster,Royal Blood,Royal Blood,212309,https://open.spotify.com/track/5fpj84RsT9cOTfWUCxBTXu
2025-11-07T01:38:40.383Z,Can You Feel My Heart,Bring Me The Horizon,Sempiternal (Expanded Edition),228146,https://open.spotify.com/track/0WSa1sucoNRcEeULlZVQXj
2025-11-07T01:34:33.172Z,Redneck,Lamb of God,Sacrament (15th Anniversary Edition),220880,https://open.spotify.com/track/1WZVnw0YWc7OLkVijEargx
2025-11-07T01:30:52.094Z,Strife,Trivium,Vengeance Falls (Special Edition),269266,https://open.spotify.com/track/15zUfY9L1p7bN9JsgaTAP0
2025-11-07T01:26:22.313Z,Heart-Shaped Box,Nirvana,In Utero (Deluxe Edition),281160,https://open.spotify.com/track/11LmqTE2naFULdEP94AUBa
2025-11-07T01:19:38.715Z,Paranoid,I Prevail,TRAUMA,144546,https://open.spotify.com/track/7dENhnDxTHnzGtpMrsJ72w
2025-11-07T01:17:13.225Z,Sugar,System Of A Down,System Of A Down,153800,https://open.spotify.com/track/1Ym3JWJG8HFJU2NbXavZ6a
2025-11-07T01:14:44.085Z,Pass The Nirvana,Pierce The Veil,The Jaws Of Life,197373,https://open.spotify.com/track/7I93h9I0RUqt1ci3Bfa290
